Code,Description,Rmks Products,WMS Print name,Box per Pal,Qty/Pal,Qty per Box,Pack Size Mini,Box Name,Weight per Box,Length,Width,Height,Vol (dm3),Pal Height,Free (in case of),L: #Box mini,Quantity Loose Mini,L: # box to replenish,Quantity Loose to Rep.,GF: #Pal mini,Quantity GF Mini,GF: # Pal to replenish,Quantity GF to Rep.,Item Type,Path
DINJARTS6V-,"ARTESUNATE 60mg, powder,vial +NaHCO3 5% 1ml +NaCl 0.9% 5ml",TC 15-25,"Arte 60mg, powder, vial",32,"3,200",100,1,Arte,4.8,39,30,24,28.08,1.3,,3.00,300,4,400,2,"6,400",1,"3,200",Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
DORAAMOX2TDB,"AMOXICILLIN, 250mg, disp. and break. tab.",TC 15-25,"Amox. 250mg, Tab",18,"86,400",4800,100,Amox,6.6,36,36,34,44.06,1.3,,3.00,"14,400",2,"9,600",3,"259,200",1,"86,400",Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
DORAASAQ2T1,"AS 50 mg / AQ eq. 135mg base, blister of 3 tab, 9-17 kg",TC 15-25,"AS 50/AQ 135, 9-17kg",36,"21,600",600,25,AS-AQ-9k,3.35,35,19,31,20.62,1.8,,3.00,"1,800",2,"1,200",2,"43,200",1,"21,600",Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
DORAASAQ3T1,"AS 100mg / AQ eq. 270mg base, blister of 3 tab, 18-35 kg",TC 15-25,"AS 100/AQ 270, 18-35kg",36,"21,600",600,25,AS-AQ-18k,4,35,19,31,20.62,1.8,,4.00,"2,400",2,"1,200",2,"43,200",1,"21,600",Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
DORAASAQ4T1,"AS 100mg / AQ eq. 270mg base, blister of 6 tab., >36 kg",TC 15-25,"AS 100 / AQ 270, >36kg",36,"21,600",600,25,AS-AQ-36k,5.83,35,26,32,29.12,1.8,,6.00,"3,600",2,"1,200",2,"43,200",1,"21,600",Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
DORAORSA2S-,"ORAL REHYDRATION SALTS (ORS) low osm., sach.20.5g/1l not flavoured",TC 15-25,ORS not Flav.,18,"18,000",1000,100,ORS,24,80,40,17,54.40,1.8,,1.00,"1,000",1,"1,000",1,"18,000",1,"18,000",Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
DORAPARA1T-,"PARACETAMOL (acetaminophen), 100mg, tab.",TC 15-25,Paracetamol 100mg Tab,16,"1,280,000",80000,1000,Para 100,14.8,35.5,29.5,39,40.84,1.3,,1.00,"80,000",2,"160,000",2,"2,560,000",2,"2,560,000",Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
DORAPARA5T-,"PARACETAMOL (acetaminophen), 500mg, tab.",TC 15-25,Para 500mg Tab,16,"288,000",18000,1000,Para,13.95,53,33,25,43.73,1.3,,2.00,"36,000",4,"72,000",2,"576,000",2,"576,000",Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
NFOSRUTFPEP92,"READY-TO-USE THERAPEUTIC FOOD, peanut paste, 92g",TC 15-25,RUTF,70,"10,500",150,150,PPN,15,39,26,22,22.31,1.8,,0.00,0,0,0,1,"10,500",1,"10,500",Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
PHYPMHMAPW5,"MENSTRUAL PADS washable, set 1 L + 3 M + bag ",,Menstrual Pads washable,12,960,80,1,Pads,9.55,48,36,47,81.22,,,0.00,0,0,0,0,0,0,0,Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
SCTDBAGU2VSS,"URINE BAG 2 l, drain., non-ret. valves, sampling port, ster.",,Bag Urine,20,"1,800",90,15,Urine Bag,9.35,59,43,31,78.65,1.8,,2.00,180,2,180,1,"1,800",1,"1,800",Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
SDREBANE104,"BANDAGE, CREPE (Velpeau), 10 cm x 4 m",,Bandage Crepe,6,"4,800",800,20,Crepe,28.5,121.5,36.5,44.5,197.35,1.8,,0.20,160,1,800,1,"4,800",1,"4,800",Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
SDRECOMN7N-,"COMPRESS, NON WOVEN, 4 plies, 7.5 cm, non sterile",,Comp. Non Woven 7.5 cm,40,"200,000",5000,100,Comp. 7.5,4.85,39,25,39,38.03,1.8,,2.00,"10,000",4,"20,000",1,"200,000",1,"200,000",Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
SDRECOMP1S-,"COMPRESS, GAUZE, 10 cm, 12 plies, 17 threads, sterile",,"Comp, 10 cm - Sterile",18,"36,000",2000,250,Comp,7.7,50,29,44,63.80,1.8,,2.00,"4,000",3,"6,000",1,"36,000",2,"72,000",Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
SDRECOMP4A4,"	COMPRESS, abdominal, 45x45 cm, 4 layers, 17 threads, sterile",,Comp. Abdominal,36,"3,600",100,5,Comp Abd.,3.85,55,29.5,25,40.56,1.8,,2.00,200,3,300,1,"3,600",2,"7,200",Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
SDRECOTW5R-,"COTTON WOOL, hydrophilic, roll, 500 g",,"Cotton Wool, Roll, 500g",40,480,12,12,Cotton,6.7,40,32,31,39.68,1.8,,3.00,36,3,36,2,960,2,960,Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
SDRETAPA1P5,"ADHESIVE TAPE, fabric, perforated, 10cm x 5m",,Adhesive Tape -10cmx5m,16,"2,304",144,12,Tape,21.6,60,40,40,96.00,1.8,,1.00,144,2,288,1,"2,304",2,"4,608",Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
SINSIVCST16W1,"SAFETY IV CATHETER, tip,16G x 45 mm, wings, IP, grey ",,Saf. IV. 16g - GREY,54,"27,000",500,50,IV-16G,3.7,54,29,19,29.75,1.8,,3.00,"1,500",4,"2,000",1,"27,000",2,"54,000",Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
SINSIVCST18W1,"SAFETY IV CATHETER, tip,18G x 45 mm, wings, IP, green ",,Saf. IV. 18g - GREEN,54,"27,000",500,50,IV-18G,3.7,54,29,19,29.75,1.8,,3.00,"1,500",4,"2,000",1,"27,000",2,"54,000",Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
SINSIVCST20W1,"SAFETY IV CATHETER, tip, 20G x 32 mm, wings, IP, pink ",,Saf. IV. 20g - PINK,54,"27,000",500,50,IV-20G,3.7,54,29,19,29.75,1.8,,3.00,"1,500",4,"2,000",1,"27,000",2,"54,000",Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
SINSIVCST22W1,"SAFETY IV CATHETER, tip, 22G x 25 mm, wings, IP, blue ",,Saf. IV. 22g - BLUE,54,"27,000",500,50,IV-22G,3.7,54,29,19,29.75,1.8,,3.00,"1,500",4,"2,000",1,"27,000",2,"54,000",Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
SINSIVCST24W2,"SAFETY IV CATHETER, tip, 24G x 19 mm, wings, IP, yellow ",,Saf. IV. 24g - YELLOW,54,"27,000",500,50,IV-24G,3.7,54,29,19,29.75,1.8,,3.00,"1,500",4,"2,000",1,"27,000",2,"54,000",Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
SINSNEED19-,"NEEDLE, s.u., Luer, 19 G (1.1 x 40 mm) cream, IV",,"Needle, 19G",16,"160,000",10000,100,"Needle, 19G",14.8,50,43,40,86.00,1.8,,2.00,"20,000",2,"20,000",1,"160,000",1,"160,000",Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
SINSNEED21-,"NEEDLE, s.u., Luer, 21 G (0.8 x 40 mm) green, IM",,"Needle, 21G",16,"160,000",10000,100,"Needle, 21G",14.6,50,43,40,86.00,1.8,,2.00,"20,000",2,"20,000",1,"160,000",1,"160,000",Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
SINSSETI2--,"INFUSION SET 'Y', Luer-lock, air inlet, sterile, s.u.",,Infusion Set. Y,10,"5,000",500,25,Infu-Y,17.5,76,48,32.5,118.56,1.8,,1.00,500,2,"1,000",1,"5,000",2,"10,000",Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
SINSSETP150,"SET, INFUSION, paediatric, precision, sterile, s.u.",,Infusion Set. PAEDIATRIC,10,"1,000",100,20,Infu-Paed,9.4,90,37,30,99.90,1.8,,1.00,100,2,200,2,"2,000",1,"1,000",Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
SINSSYAI005,"SYRINGE, AUTO-DISABLE with needle, s.u., imm, 0.5 ml",,Syringe 0.5 ml,12,"38,400",3200,100,Syr 0.5,11.7,59,39,47,108.15,1.8,,1.00,"3,200",2,"6,400",1,"38,400",1,"38,400",Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
SINSSYDL01-,"SYRINGE, s.u., Luer, 1 ml, graduated 1/100",,"Syringe, 1ml",12,"43,200",3600,100,"Syringe, 1ml",18.9,59,44,51,132.40,1.8,,1.00,"3,600",2,"7,200",1,"43,200",1,"43,200",Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
SINSSYDL05-,"SYRINGE, s.u., Luer, 5 ml	",,"Syringe, Luer - 5ml",12,"28,800",2400,100,Syr5,18.6,57,44,58,145.46,1.8,,0.17,400,2,"4,800",1,"14,400",1,"28,800",Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
SINSSYDL10-,"SYRINGE, s.u., Luer, 10 ml	",,"Syringe, Luer - 10ml",16,"24,000",1500,100,Syr10,18.6,59,45,54,143.37,1.8,,0.33,500,2,"3,000",1,"12,000",1,"24,000",Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
SINSSYDL20-,"SYRINGE, s.u., Luer,20 ml	",,"Syringe, Luer - 20ml",16,"9,600",600,50,Syr20,13.9,61,46,46,129.08,1.8,,1.00,600,2,"1,200",1,"4,800",1,"9,600",Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
SINSSYLIN02,"SYRINGE, U-100 insulin, 1ml + fixed needle 6-8 mm",,Syringe Ins. 6-8 mm,30,"42,000",1400,100,Syr Ins. ,7.5,67,20,34,45.56,1.8,,1.00,"1,400",3,"4,200",1,"42,000",1,"42,000",Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
SMSUGLEN1L-,"GLOVE, EXAMINATION, nitrile, s.u., non sterile, L",,Glove. Exam. NITRILE -L,54,"108,000",2000,200,EXAM-L,9.2,40,26,26,27.04,1.8,,3.00,"6,000",6,"12,000",2,"216,000",2,"216,000",Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
SMSUGLEN1M-,"GLOVE, EXAMINATION, nitrile, s.u., non sterile, M",,Glove. Exam. NITRILE -M,54,"108,000",2000,200,EXAM-M,8.2,40,26,26,27.04,1.8,,3.00,"6,000",6,"12,000",2,"216,000",2,"216,000",Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
SMSUGLEN1S-,"GLOVE, EXAMINATION, nitrile, s.u., non sterile, S",,Glove. Exam. NITRILE -S,54,"108,000",2000,200,EXAM-S,7.8,40,26,26,27.04,1.8,,3.00,"6,000",6,"12,000",2,"216,000",2,"216,000",Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
SMSUGLOE1L-,"GLOVE, EXAMINATION, latex, s.u. non sterile, large",,Glove Exa. LATEX L,54,"54,000",1000,100,Lat L,7.6,38,26,24,23.71,1.8,,3.00,"3,000",6,"6,000",2,"108,000",2,"108,000",Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
SMSUGLOE1M-,"GLOVE, EXAMINATION, latex, s.u. non sterile, medium",,Glove Exa. LATEX M,54,"54,000",1000,100, Lat M,6.9,38,26,24,23.71,1.8,,3.00,"3,000",6,"6,000",2,"108,000",2,"108,000",Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
SMSUGLOE1S-,"GLOVE, EXAMINATION, latex, s.u. non sterile, small",,Glove Exa. LATEX S,54,"54,000",1000,100,Lat S,5.85,34,25,25,21.25,1.8,,3.00,"3,000",6,"6,000",2,"108,000",2,"108,000",Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
SMSUGLOS70-,"GLOVES, SURGICAL, latex, s.u., sterile, pair, 7",,"Gloves. SURGICAL, 7",24,"9,600",400,50,Surg 7,13.85,53,26,43,59.25,1.8,,2.00,800,3,"1,200",2,"19,200",1,"9,600",Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
SMSUGLOS75-,"GLOVES, SURGICAL, latex, s.u., sterile, pair, 7.5",,"Gloves. SURGICAL, 7.5",24,"9,600",400,50,Surg 7.5,13.85,53,26,43,59.25,1.8,,2.00,800,3,"1,200",2,"19,200",1,"9,600",Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
SMSUGLOS80-,"GLOVES, SURGICAL, latex, s.u., sterile, pair, 8",,"Gloves. SURGICAL, 8",24,"9,600",400,50,Surg 8,13.85,53,26,43,59.25,1.8,,2.00,800,3,"1,200",2,"19,200",1,"9,600",Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
CSHENETS804,"SHADE NET, 80%, 4x50m, roll",,Shade Nets 50m,1,1,1,1,Shade net,0,0,0,0,0.00,,,0.00,0,0,0,0,0,0,0,Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
ELINDRAW6D-,"DRAWSHEET, disposable, plastified, absorbable, 60 x 60 cm	",,"Drawsheet, disposable 60x60 cm",56,"5,600",100,25,Drawsheet,5.9,39,31,23,27.81,1.8,,2.00,200,3,300,2,"11,200",1,"5,600",Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
ELINDRSS3CS,"DRAPE, non-woven, high perf., sterile, Caesarean section set",,"Drape, non woven, sterile, caesarean section set",20,200,10,1,Drape. Caesarean,10.5,60,43,30,77.40,1.8,,2.00,20,3,30,1,200,2,400,Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
ELINDRSS5US,"DRAPE, non-woven, high perf., sterile, universal set	",,"Drape, non woven, sterile, universal set",20,160,8,1,Drape. Univ.,9.8,50,35,35,61.25,1.8,,2.00,16,2,16,1,160,2,320,Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
ELINGOWSSL-,"SURGICAL GOWN, non-woven, high performance, sterile, L	",,Surg. Gown L,28,700,25,1,Gown L,5.1,60,40,23,55.20,1.8,,2.00,50,3,75,1,700,2,"1,400",Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
ELINGOWSSXL,"SURGICAL GOWN, non-woven, high performance, sterile, XL	",,Surg. Gown XL,24,600,25,1,Gown XL,5.45,60,40,25,60.00,1.8,,2.00,50,3,75,1,600,2,"1,200",Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
DINFDEXT5SRF5,"DEXTROSE (GLUCOSE), 5%, 500ml, semi-rigid bot., PVC free	",TC 15-25,"Dextrose (Glucose), 5%,",50,"1,000",20,20,Dext-Glucose,12.2,39.5,23.5,25,23.21,1.8,,0.00,0,0,0,1,"1,000",1,"1,000",Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
DINFDERI5FBF5,"DEXTROSE 5%/ RINGER LACTATE, 500ml, flex. bag, PVC free",TC 15-25,Dext_Ringer.Lactate 500ml,64,"1,280",20,20,Dext-Ringer. Lact,11.7,38,30,20,22.80,1.8,,0.00,0,0,0,1,"1,280",1,"1,280",Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
CWATINSERM3S,"INSECTICIDE res. spray. pirimiphos-methyl, 30% 0.833l SC",DGR,Actellic,0,0,12,12,Actellic,12.65,36,25,28,25.20,,,0.00,0,0,0,0,0,0,0,Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
SSDTMALF25T3,"MALARIA HRP-2 TEST, wb, 1 test (STANDARD Q P.f 09MAL10D)",TC 15-25,MALARIA HRP-2 TEST (SD Biosensor),12,"12,000",1000,25,Test Malaria F25T3,11.6,52,33,39,66.92,1.3,,1.00,"1,000",4,"4,000",1,"12,000",2,"24,000",Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
SSDTMALP25T3,"MALARIA HRP-2/pan pLDH TEST,wb,1t.(STAND.Q P.f/Pan 09MAL30D)",TC 15-25,Malaria Test(STAND.Q P.f/Pan 09MAL30D),12,"12,000",1000,25,Test Malaria P25T3,11.6,52,33,39,66.92,1.3,,1.00,"1,000",4,"4,000",1,"12,000",2,"24,000",Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
DINFSODC9SRF5,"SODIUM chloride, 0.9%, 500ml, semi-rigid bot., PVC free",TC 15-25,"SODIUM chloride, 0.9%",50,"1,000",20,20,Sodium - 500,12,39,24,26,24.34,1.8,,0.00,0,0,0,2,"2,000",2,"2,000",Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
SMSUBAGP16-,"BAG, plastic, for health card, 16x22 cm, re-sealable zipper",,Plastic Bag - 16x22,32,"128,000",4000,1000,Bag 16x22,15.8,35,39,38,51.87,1.8,,1.00,"4,000",1,"4,000",1,"128,000",1,"128,000",Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
SDDCBAGP06P1,"BAG for drugs, plastic, zipper, 6 x 8 cm, + pictogram 2020",,Bag drugs 6x8,24,"480,000",20000,1000,Bag 6x8,15.2,37,32,42,49.73,1.8,,1.00,"20,000",1,"20,000",1,"480,000",1,"480,000",Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
DEXTCLOT5T-,"CLOTRIMAZOLE, 500mg, vaginal tab./pessary + applicator",,Clotrimazole 500,12,"2,880",240,1,Clotrimazole,5.8,56,35,31,60.76,1.3,,1.00,240,5,"1,200",1,"2,880",1,"2,880",Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
SMSUGLOS65-,"GLOVES, SURGICAL, latex, s.u., sterile, pair, 6.5",,"Gloves. SURGICAL, 6.5",24,"9,600",400,50,Surg 6.5,13.85,53,26,43,59.25,1.8,,2.00,800,3,"1,200",2,"19,200",1,"9,600",Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
SMSUGLOS85-,"GLOVES, SURGICAL, latex, s.u., sterile, pair, 8.5",,"Gloves. SURGICAL, 8.5",24,"9,600",400,50,Surg 8.5,13.85,53,26,43,59.25,1.8,,2.00,800,3,"1,200",2,"19,200",1,"9,600",Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
"SINSBABS4B4
","BLOOD BAG+divers. pouch,Penta, CPDA1, 450 ml + 4x100ml, s.u.",,"Blood bag, Penta 450 ml",20,400,20,1,Penta 450,7.1,48,32,23,35.33,1.3,,2.00,40,2,40,1,400,1,400,Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
"SINSBABS4--
","BLOOD BAG + diversion pouch, single, CPDA1, 450 ml, s.u.",,"Blood bag, Single 450 ml",20,"1,000",50,5,Sin 450,8.25,48,32,23,35.33,1.3,,2.00,100,2,100,1,"1,000",1,"1,000",Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
"SINSBABS2--
","BLOOD BAG + diversion pouch, single, CPDA1, 250 ml, s.u.",,"Blood bag, Single 250 ml",20,"1,000",50,5,Sin 250,6.55,48,32,23,35.33,1.3,,2.00,100,2,100,1,"1,000",1,"1,000",Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
,,,,,0,,,,,,,,0.00,,,,0,,0,,0,,0,Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
